text,aspect,label
Seating is ok even though sometimes there's alot of people.,Seating,neutral
One of us actually liked the expresso - that's it.,expresso,positive
"The food came out wrong, the waiter was no where to be found and the wine showed up at the end of the meal.",wine,negative
"The service was poor, restaurant poorly lit, staff not very attentive and I would have rather eaten at a Mcdonald's than this joint.",service,negative
The bar is very well stocked with interesting beers and well priced wines.,bar,positive
"Dip the ingredients in with your chopsticks, swirl them around, and eat.",chopsticks,neutral
"Good, because hey, it's more food, but bad because dim sum is supposed to be smaller portions so you can try out more dishes and smaller so that each dish is cheap.",dim sum,negative
"The pesto pizza was excellent, thin-crust pizza with a nice amount of spicy Italian cheese that I'd never heard of before.",pesto pizza,positive
The secret is the lunch menu which offers a complimentary appetizer with every entree ordered.,appetizer,positive
We went to eat at the Jekyll and Hyde restaurant on Friday night and really enjoyed the fun atmosphere and good food.,food,positive
The sauce is delicious and the crust is perfect.,crust,positive
"The only weird thing was if we got a bottle, the waitress would have simply multiplied the glass price X4, which makes no sense whatsoever.",price,negative
"We started with lox and mussels (the best ive ever had, ever) and had the cod and trout for dinner.",cod,neutral
It took them 15 minutes to put water in our glasses.,water,neutral
"You get what you pay for and with that logic in mind, Spice is a great place to grab some cheap eats and drinks in a beautiful setting.",drinks,positive
"While they keep the capex to a minimum, they do put some cash into the bagels, because they among the best in the city.",capex,positive
Fast service.,service,positive
"I have been here a few times for dinner, once for brunch and twice for lunch.",lunch,neutral
The food was very expensive (we spent $160 for lunch for two) but extremely tasty.,lunch,negative
Went to Ottimo and was expecting outstanding pizza (as I love La Pizza Fresca).,pizza,neutral
For dinner I had the chicken tikka-masala and some garlic naan.,dinner,neutral
"Haru serves very fresh fish, has a trendy, modern ambiance, prime location on Park Avenue South and friendly service.",location,positive
I have eaten there 3-4 times and the food was always good.,food,positive
It is a lot of fun with live entertainment and all kinds of Disney type special effects.,live entertainment,positive
The bill is approximately $25 for 2 at lunch without drinks.,drinks,neutral
I have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats.,chef,positive
"The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.",sauces,negative
"The vibe is very relaxed and cozy, service was great and the food was excellent!",food,positive
"Great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom.",massamman curry,positive
"Other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!",people,positive
"But for whatever reason, prices are about twice as high.",prices,negative
"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",waitress,negative
They even have a section in the menu called American Chinese food!,menu,negative
They need a kick out of it but until then the sushi is pretty good and the place is consistent.,sushi,positive
I love the fact that the pizza tastes so good and is so cheap.,pizza,positive
"Compared to Ess-a, Tal offers a less doughy bagel!",bagel,negative
Since my first dinner I have had the chance to have brunch at Orsay 3x.,brunch,neutral
"Saturday, Nov. 6th I had a group from work come in with about 35 people and the staff was amazing to accomodate us.",staff,positive
"If it isn't for the food (A+++), it must be the service or the ambience.",service,positive
"This place doesn't compare with Mamoun's in terms of price, freshness, value, and consisent quality, but that's just my opinion.",price,negative
"I didn't take a look at the rest menu, but the oysters were fantastic.",oysters,positive
"good music, great food, speedy service affordable prices.",service,positive
i don't usually order wine with indian so i can't comment on their wine list or their wines.,wines,neutral
The worst excuse for Japanese food I've ever encountered.,Japanese food,negative
"Upon entering, we were greeted by the owners, Steven and Frederick, who went out of their way to be more than gracious hosts.",owners,positive
"Stay away from the two specialty rolls on the menu, though- too much avocado and rice will fill you up right quick.",menu,neutral
"I like the ambience, it's very dark and original.",ambience,positive
"The beverages were excellent, and the dessert was good.",dessert,positive
The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,tomatoes,positive
The food is great and reasonably priced.,food,positive
This place has realy fresh sushi and a nice large menu of Japanese classic cuisine.,sushi,positive
Personal pans are the perfect size for those hungry nights.,Personal pans,positive
Le Pere Pinard has a $15 pre-theater menu that is outstanding.,pre-theater menu,positive
The prices are about $9 for an entree for dinner and even less for lunch.,dinner,neutral
"Each bite of food at Kai was indeed delicious, fresh, and elegant.",food,positive
"So if you want a nice, enjoyable meal at Montparnasse, go early for the pre-theater prix-fixe.",meal,positive
One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,table,neutral
"If it isn't for the food (A+++), it must be the service or the ambience.",ambience,positive
"This wasn't the expected menu comprised only of pad thai and tom yum soup, but I thought that was what made the place so special.",tom yum soup,neutral
"The service is always bad though, don't expect much of anything from your server, and I would not recommend bringing a date here either.",service,negative
"They're also friendlier here, especially the owner, Kenny.",owner,positive
"In an area sadly lacking in decent Thai food, this is one of the best spots.",Thai food,positive
"Warm, comfortable surroundings, nice appointments (witness the etched glass and brickwork separating the dining rooms).",dining rooms,neutral
The sushi is average and the prices are anything but.,prices,neutral
Terrific menu full of unique rolls and special dishes.,dishes,positive
"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",lemon salad,negative
"Service is friendly, prices are good - delivery time was a little slow, but for the way this pizza tastes, I'm willing to overlook it.",prices,positive
I ordered a Chicken Teriyaki dish and found that the chicken was extremely dry.,chicken,negative
Food was OK - fish was cooked well.,Food,neutral
"Upon entering, we were greeted by the owners, Steven and Frederick, who went out of their way to be more than gracious hosts.",hosts,positive
The sangria was pretty tasty and good on a hot muggy day.,sangria,positive
"You can certainly find restaurants that offer a superior fine dining experience, but for superb food at reasonable prices, La Villa can't be beat.",prices,positive
"Overall, the ingredients and technique are there and I am encouraged enough to return at lunch or dinner to see whether the boldness of the flavour palette improves.",lunch,neutral
"The food was really good, I had the onion soup and it was one of the best ever.",food,positive
The all-Italian staff is warm and engaging from the start.,staff,positive
Even the pasta is delicious here (a rarity in New York pizza restaurants).,pasta,positive
"All I can say is $2 pints during happy hour and the some of the cheapest oysters you'll find in the city, though the quality is some of the best.",quality,positive
"However, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.",glass front,negative
We had Pam's special fried fish and it was amazing.,Pam's special fried fish,positive
Definitely not worth the price!,price,negative
"Orsay, is without a doubt one of the best values for authentic French food in NYC.",French food,positive
"Great food (spinach and corn dumplings and massamman curry), very friendly and no nonsense service and a clean and funky bathroom.",bathroom,positive
I cannot imagine a friendlier staff working in a restaurant.,staff,positive
love the food.,food,positive
"Be sure to try the seasonal, and always delicious, specials.",specials,positive
The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.,tuna,negative
The service is good and ambience is good for a date or group outing.,ambience,positive
We even had a visit from the Manager who wanted to make sure we were enjoying ourselves.,Manager,positive
Ummm...the beer was cold.,beer,positive
"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.",scallops,positive
black white shakes came out good also.,black white shakes,positive
Great food and the prices are very reasonable.,prices,positive
The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,food,positive
"Interesting selection, good wines, service fine, fun decor.",wines,positive
All the pastas are fantastic and the homemade lasagna is some of the best that I have had in the City.,pastas,positive
"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",food,positive
Best Pastrami I ever had and great portion without being ridiculous.,portion,positive
Bartender was unable to tear himself away from friends at bar.,Bartender,negative
"Only complaint would be that at an average cost of $12-$15 per meal, I'd like not to have to worry about finding a seat!",meal,neutral
The cream cheeses are out of this world and I love that coffee!!,cream cheeses,positive
"As I made the title, it's an affordable restaurant for great taste.",taste,positive
"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers.",samosa chaats,positive
"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",room,neutral
"Overall, the ingredients and technique are there and I am encouraged enough to return at lunch or dinner to see whether the boldness of the flavour palette improves.",dinner,neutral
Very good wine choices.,wine choices,positive
Food is great and inexpensive.,Food,positive
"The food is mostly made from scratch, fresh and well prepared.",food,positive
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",captain,positive
"It is far more popular as a bar than as a restaurant, with only a few tables and the waiter being the bartender, but we greatly enjoyed the unobtrusive atmosphere.",tables,negative
"Three page wine menu, one page entree and horedevous.",entree,positive
We had champagne and caviar and felt like princesses!,champagne,positive
"Three page wine menu, one page entree and horedevous.",wine menu,positive
"The bread is the soft paratha bread (unlike the plain bread they use in Calcutta), and the stuffing is tandoori styled and very flavorful.",bread,negative
The wine selection (by the glass and bottle) is wonderful and I always recommend that friends make a reservation if they're going to be in town.,reservation,neutral
It was not above ordinary and the beef version had cheap (undercooked) beef.,beef,negative
"We had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.",crawfish boiled,positive
"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers.",food,positive
Drinks way over priced.,Drinks,negative
They were such a rip-off ($8.95 for four small meat patties in steamed buns) and not worth trying.,meat patties in steamed buns,negative
The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,outdoor atmosphere,positive
"It's like they took leftover chicken, poured oil and sprinkled pepper powder over it (the sauce was translucent and red).",chicken,negative
I've overheard comments from him to his employees that should not have been delivered in the dining area and I've been sitting there while he lectured another customer.,employees,negative
"I found the food, service and value exceptional everytime I have been there.",service,positive
"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers.",bhelpuri,positive
I would like to return and try some of the other menu items when I don't have to rush off to a show.,menu items,positive
The service is awful--the last time I was there (and I do mean the last time) we were told that they needed our table so we would have to leave.,table,negative
My wife had the fried shrimp which are huge and loved it.,fried shrimp,positive
Sauce was watery and the food didn't have much flavor.,Sauce,negative
The steak was excellent and one of the best I have had (I tasted the butter intitally but in no way did it overwhelm the flavor of the meat).,butter,negative
This place has realy fresh sushi and a nice large menu of Japanese classic cuisine.,menu,positive
"I had the cod with paella (spicy and very filling, I'm a big eater and could only eat half) while my boyfriend had the classic fish and chips (again, a big serving - at least 5 pieces of fish and a basketful of fries).",fish,neutral
"The seafood is amazing, there's a good wine list, and the ever-changing menu always offers some great surprises.",menu,positive
"The menu was impressive with selections ranging from a burger, to steak, to escargot.",steak,neutral
"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,positive
The food is okay and the prices here are mediocre.,food,neutral
Try the sea bass.,sea bass,positive
"Everything, from the soft bread, soggy salad, and 50 minute wait time, with an incredibly rude service to deliver below average food.",salad,negative
"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",service,positive
"the food was undercooked-the sauce watery, and the vegetables raw.",sauce,negative
"they didn't disappoint, service from the second i arrived at the door was extremely pleasant and attentive with almost one server per table.",table,neutral
The cream cheeses are out of this world and I love that coffee!!,coffee,positive
"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",atmosphere,neutral
"If you're craving for Haru's great food, especially the House Roll, but can't stand the wait building outisde, head across the street to their Sake Bar!",food,positive
"Good, because hey, it's more food, but bad because dim sum is supposed to be smaller portions so you can try out more dishes and smaller so that each dish is cheap.",portions,negative
"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",Gigondas,positive
Delicious crab cakes too.,crab cakes,positive
very good breads as well.,breads,positive
The makhani was OK --the korma was bland.,makhani,neutral
"Chance is a small cozy restaurant, with a romantic feel to it, the decor is great.",decor,positive
"Unlike HH up the block, this place actually gives you hearty and hot bagels this town is known for.",bagels,positive
"Butter was melted, white wine warm, cheese oozing everywhere.",cheese,negative
"We were still sitting at the bar while we drank the sangria, but facing away from the bar when we turned back around, the $2 was gone the people next to us said the bartender took it.",sangria,neutral
"Check it out, it won't hurt your stomach or your wallet.",wallet,positive
"Also, top the meal with a delicious and perfect slice of tiramisu.",tiramisu,positive
"My husband said the portions were very small, but if my main course was good to eat the portion would've been fine for me.",portions,negative
The establishment scores big points in presentation and style.,establishment,positive
While the food was good (certainly no Il Mulino) the service was horrendous.,service,negative
There is no excuse for such lousy service!,service,negative
"Great spot, whether looking for a couple of drinks or quiet dinner.",dinner,positive
"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.",basil,positive
"Southern Indian cuisine is still there, too.",Southern Indian cuisine,neutral
Mine was a little burnt but still delicious with goat cheese and panchetta (raddichio was kind of bitter though).,raddichio,negative
"Three page wine menu, one page entree and horedevous.",horedevous,positive
"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!",Fish,neutral
The place was real empty but that was because this was the first Sunday they ever opened.,place,negative
Salads are a delicious way to begin the meal.,meal,positive
I recommend this spot to anyone who enjoys  fine cuisine at reasonable prices.,cuisine,positive
"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!",appetizer,positive
"Also, don't plan on asking for your favorite roll, if it's not on the menu, you can't have it.",roll,negative
Price and quality of fish alone will keep us from making a return visit.,quality,negative
Definite go if you're used to good Indian restaurant food from abroad.,Indian restaurant food,positive
"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",service,negative
sometimes i get good food and ok service.,service,neutral
The secret is the lunch menu which offers a complimentary appetizer with every entree ordered.,lunch menu,positive
"I plan to come here again and look forward to trying their assortment of bruschetta, panini's.....",bruschetta,positive
"The service, wine selection, ambiance are all outstanding and deserve recognition.",service,positive
I loved everythig about it-especially the shows and actors.,shows,positive
You get the sense that the people there care about their restaurant and about your experience and that is very nice.,people,positive
"In addition, the food is very good and the prices are reasonable.",food,positive
Their Margarita is best I've had since I've returned from Naples!,Margarita,positive
"That is a problem since we paid about 20 bucks a dish, and had to order 5 dishes to get a decent taste.",dishes,negative
"The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.",beer,positive
"I ordered tamarind duck and my wife ordered noodles with ground beef, and we were both delighted by the way the dishes evoked Thai flavors in unexpected ways.",noodles with ground beef,positive
"The waitress remembers me and is very friendly, she knows what my regular is and that's the fried mini buns with the condensed milk and the assorted fruits on beancurd.",fried mini buns with the condensed milk and the assorted fruits on beancurd,positive
And their prices are very high - they actually think that they can get away with charging such prices for such terrible food and service!,prices,negative
"I had the salmon dish and while it was fine, for the price paid, I expected it to have some type of flavor.",flavor,negative
"We didn't even see a menu, as our waiter described both the specials and the main dishes.",waiter,positive
"The staff was accomodating, the food was absolutely delicious and the place is lovely.",food,positive
"Nice ambiance, nice little bar, good bartender, Francois, and good service.",bar,positive
"sometimes i get bad food and bad service, sometimes i get good good and bad service.",good,positive
"After complaining about the chicken dish, the manager came over to tell us that, no one had ever complained before, and that we just didn't know what the dish was supposed to taste like.",chicken dish,negative
The best pad thai i've ever had.,pad thai,positive
"Told us to sit anywhere, and when we sat he said the table was reserved.",table,negative
"To celebrate a birthday, three of us went to Mare anticipating great food.",food,neutral
A cool place to hang with your friends for a couple of healthy drinks and desserts.,drinks,positive
"It's really also the service, is good and the waiters are friendly.",waiters,positive
"If you go to Roth's try to be served by Mike, he is GREAT!!",served,positive
"Solid wine list, knowledgeable staff, friendly owners and an adventurous, ever-changing menu keep us coming back.",menu,positive
"My turkey burger was not cooked at all, my friends salmon was completely raw.",turkey burger,negative
I won't go back unless someone else is footing the bill.,bill,negative
"The blond wood decor is very soothing, the premium sake is excellent and the service is great.",sake,positive
They have a huge selection of different cream cheeses and all of their salads are great.,salads,positive
"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",service,positive
Really tasty spring rolls and noodles for a good price though.,spring rolls,positive
"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",courses,neutral
"We actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off.",food,neutral
"Perhaps this food is considered extreme to an Upper East Side resident, but for the rest of us who've actually eaten ethnic food, this is simply dull.",ethnic food,negative
A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere.,food,positive
"On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.",choice,negative
The service is outstanding and my crab-cake eggs benedict could not have been better.,service,positive
"try the spicy shrimp appetizer (again, not the greatest value in the world but worth the price) and the lamb vindaloo is great.",shrimp appetizer,positive
The steak was excellent and one of the best I have had (I tasted the butter intitally but in no way did it overwhelm the flavor of the meat).,steak,positive
The staff was knowledgeable and full of personality.,staff,positive
Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.,wine,neutral
I liked the food at this quasi-thai restaurant.,food,positive
"The food is consistently wonderful - I've been coming here for years, and the owner has always been accomodating and friendly.",food,positive
The pizza is delicious and the proprietor is one of the nicest in NYC.,pizza,positive
"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",pork,positive
After dealing with subpar pizza all over the Kensington neighborhood - I've found little toninos.,pizza,negative
One of the earlier people commenting on the restaurant did not get the that some experimenting is going on with the menu in a positive way.,menu,positive
My husband and I enjoy Sangria.,Sangria,positive
Much more reasonably priced too!,priced,positive
"Nice atmosphere, the service was very pleasant and the desert was good.",service,positive
"The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these.",dosas,negative
"BUt their best dish is thh Thai spiced curry noodles with shrimp - a dish that would cost $23.95 is most places, but it is $16 here.",cost,positive
"A very inviting restaurant, with friendly service.",service,positive
"Plus, on Wednesday nights the house wine is unlimited!",house wine,positive
The location and ambience is Ok but the food is what makes up for it.,ambience,neutral
"Very romantic fires - I've literally spent hours at Lanterna, drinking wine from their extensive wine and enjoying the ambience.",wine,positive
"If you're looking for a great meal at a decent price, go to Del Frisco's!",price,positive
"This is some really good, inexpensive sushi.",sushi,positive
"We actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off.",service,neutral
Yes you have to wait to be seated and because its small there is no waiting area and the seat at the bar was all taken.,seat,negative
"$6 and there is much tasty food, all of it fresh and continually refilled.",food,positive
"Service was slow, but the people were friendly.",people,positive
The counter service is bad.,counter service,negative
"No refills on fountain drinks, though.",fountain drinks,negative
"my picks are:  - Scallion Pancake (fried with vegetable juice, very special and tasty)  - Guizhou Chicken  - Shredded Squid Family Style (one of my personal favorites)  - Sichuan Spicy Soft Shell Crab  - Shuizhu Fish (this one is for hardcore Sichuan food fans, I wouldn't recommend to my American friends as it's very spicy.",Scallion Pancake,positive
It was so bad I actually refused to pay for my food.,food,negative
"Just because it's cheap does NOT mean the portions are small or the food is nasty, IT IS GREAT!",portions,positive
We had a 3 hour brunch- they definitely do not rush you- and they kept the unlimited mimosas flowing the whole time.,brunch,positive
We had a girls' night dinner here for restaurant week.,dinner,neutral
then we ordered a dinosaur rolls and white tuna sashimi.,white tuna sashimi,neutral
Make sure you have the Spicy Scallop roll.. .,Spicy Scallop roll,positive
We were seated outside and the waiter spilled red wine and hot tea on myself and my date.,hot tea,neutral
Great Indian food and the service is incredible.,service,positive
"good music, great food, speedy service affordable prices.",food,positive
"First the wrong bread came out with the appetizer, then when i tried to order a second glass of wine for my main course...",main course,neutral
"A cheap eat for NYC, but not for dosa.",eat,positive
"For the quality of food, a little too expensive.",quality of food,negative
"The food was not very tasty, the portioins were tiny even for such a high quality restaurant.",portioins,negative
I would recommend putting your name down and then getting a drink at a local bar first though because of the wait time.,wait time,negative
This big draw is the all you can sushi here for $19.95!,sushi,positive
"they did give a 15% discount at the end, wasn't enough, as they knew the service was horrible.",service,negative
The staff is incredibly helpful and attentive.,staff,positive
"Fluke sashimi drizzled with jalapeno-lime olive oil, the fruit of the oil nicely highlighting the fish's sweetness.",jalapeno-lime olive oil,positive
"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.",atmosphere,positive
He offers subpar service and has no personality.,service,negative
But that wasn't the icing on the cake: a tiramisu that resembled nothing I have ever had.,tiramisu,negative
"On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.",ambiance,neutral
And at the conclusion of this culinary nightmare the check was given to our table by knocking over a glass of water.,check,neutral
"The wait staff is very friendly, if not overly efficient.",wait staff,positive
"Unless you are eating in the Pizzeria side of this place, and are not in a rush, this place is a bad idea.",place,negative
"The wine list isn't great, and the desserts are shipped in from Bruno's down the street, which is not as good as it used to be.",desserts,negative
My fish was delicious in an incredible curry sauce.,fish,positive
"The highlight of the night was the mayonaisse for my side of fries I received from one of the food runners, which is not good considering the bill was nearly $100.",food runners,neutral
"We asked to be moved (which took half an hour), and then were seated in a high traffic area in the back, even though the rest of the room was practically empty.",room,neutral
"You don't go to Mizu for excellent service, you go for the large amounts of food, the amiable atmosphere, and the hole-in-the-wall feeling of the place.",food,positive
"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",pistachio ice cream,positive
The prices and ambience are especially great considering it's in the West Village.,prices,positive
THE FOOD PORTIONS ARE REALLY LARGE.,FOOD PORTIONS,positive
"Only drawback - they won't toast your bagel, and they don't make eggs for the bagel.",bagel,negative
"Otherwise, this place has great service and prices and a nice friendly atmosphere.",prices,positive
I have been coming here for years and have nothing but good things to say about the service and the great staff at La Lanterna.,staff,positive
"The quantity is also very good, you will come out satisfied.",quantity,positive
I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,Edamame pureed,positive
The food is reliable and the price is moderate.,price,neutral
"I come from a family of pizzeria owners, and I'm almost ashamed to say that the pizza in Fornino's blows my families receipies away.",pizza,positive
"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.",mushroom ravioli,positive
Raga stands out with an interesting fusion of French and Indian cooking.,fusion of French and Indian cooking,positive
(Always ask the bartender for the SEASONAL beer!!!,bartender,neutral
"we did notice however, that some tables had what looked like pita instead of naan.",naan,negative
"It is nearly impossible to get a table, so if you ever have the chance to go here for dinner, DO NOT pass it up.",dinner,positive
The duck confit is always amazing and the foie gras terrine with figs was out of this world.,duck confit,positive
The zucchini and mashed potatoes are a blend of garlic and butter which simply melts in your mouth.,mashed potatoes,positive
He was terribly thirsty after the meal too.,meal,negative
When we were finally seated our waitress came by twice-1 for our order and 2-for our check.,check,neutral
The waitresses are nice--also you can just get counter service sit.,counter service,positive
The dinner menu is diverse and top-notch as well.,dinner menu,positive
"It's the perfect restaurant for NY life style, it got cool design, awsome drinks and food and lot's of good looking people eating and hanging at the pink bar...",design,positive
Horrible food and Horrible service.,food,negative
The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,food,neutral
The steak was very fatty and the sauce was overpowering and not very tasty.,steak,negative
"The signs, the specials menus, food, and even all the waitstaff are ALL TOTALLY Japanese.",food,positive
This restaurant used to be our regular Thursday night dinner location.,dinner location,neutral
I go back in line like three times on average until I can't walk anymore.,line,negative
I recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!,meal,neutral
"But when you are seated the waitresses are great, they explain everything on the menu, and the price of the food is really cheap for the service you get.",menu,neutral
This place is a great stop for great food.,food,positive
"Good, because hey, it's more food, but bad because dim sum is supposed to be smaller portions so you can try out more dishes and smaller so that each dish is cheap.",dish,neutral
It's a nice place to relax and have conversation.,place,positive
Winnie and her staff are the best crew you can find serving you.,staff,positive
"Some of the workers ignore me and talk to the female customers, other times, they've skipped my order.",workers,negative
"We are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",ceviche mix (special),positive
"Spice is sleek, modern and cool with a menu that will not hurt your wallet.",menu,positive
"The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.",service,positive
Why do people rave about the ambience.,ambience,negative
We thought that this place is using too much of MSG cooking in the foods.,MSG cooking,negative
I ate clams oreganta and spectacular salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil.,clams oreganta,positive
The food was delicious and the waiter was incredibly helpful and attentive (considering we were the only ones there for the first hour).,food,positive
"The drinks are a saving grace, but service staff, please, get over yourselves.",service staff,negative
The takeout is great too since they give high quality tupperware as well.,takeout,positive
"uni from maine vs california, sea vs freshwater eel) to get a good taste comparison.",eel,neutral
