"@id","text","aspectTerms__aspectTerm__@from","aspectTerms__aspectTerm__@polarity","aspectTerms__aspectTerm__@term","aspectTerms__aspectTerm__@to","aspectCategories__aspectCategory__@category","aspectCategories__aspectCategory__@polarity"
"534","SKVĚLÁ KUCHTIČKA,JÍDLO CHUTNÉ A PIVO???DOBŘE CHLAZENÉ","17","positive","JÍDLO","22","food","positive"
"","","32","positive","PIVO","36","service","positive"
"","","7","positive","KUCHTIČKA","16","",""
"532","S obsluhou jsme byli spokojeni","2","positive","obsluhou","10","service","positive"
"1820","Poté přišel nejspíš vedoucí, jídlo odnesl a donesl nové","29","neutral","jídlo","34","food","neutral"
"","","20","neutral","vedoucí","27","service","neutral"
"1825","Prostředí nic moc","0","negative","Prostředí","9","ambience","negative"
"1823","Prosecco jako welcome drink perlilo tak napůl, nedostali jsme žádné pečivo ani máslo, na stole chyběly ubrousky, mlýnek na pepř byl prázdný","79","negative","máslo","84","food","negative"
"","","0","negative","Prosecco","8","",""
"","","68","negative","pečivo","74","",""
"","","22","negative","drink","27","",""
"536","tady je asi nekdo slepy nikdy tam zadne sexy kocky nepracovali jen tucne prasata ocividne se ti takove zenske liby a co se tyce celkove te restaurace lidi NEBLAZNETE A NECHODTE TAM pivo teple popelniky plne servirky nezajem tak si radeji rozmyslete nez tam pujdete","139","negative","restaurace","149","food","negative"
"","","181","negative","pivo","185","service","negative"
"","","207","negative","servirky","215","ambience","negative"
"","","","","","","anecdotes/miscellaneous","negative"
"1827","Při rezervaci mi sdělili, že mají volno až od 20,30, jinak prý plno??","","","","","",""
"1420","Majitelé evidentně nezvládli své reakce na negativní recenze","0","negative","Majitelé","8","service","negative"
"1423","Mohu jen doporučit","","","","","anecdotes/miscellaneous","positive"
"930","V regionu je mnoho kvalitních restaurací, které mají svého ducha a velmi zajímavý sortiment jídel","","","","","",""
"1427","Myslím si, že zvěřina zvítězí","14","neutral","zvěřina","21","food","neutral"
"933","V tento den tam bylo večer 6 lidí na obsluhu a restaurace nebyla plná + kuchaři","72","neutral","kuchaři","79","service","neutral"
"","","47","neutral","restaurace","57","anecdotes/miscellaneous","neutral"
"","","37","neutral","obsluhu","44","",""
"934","V žádném případě nemohu doporučit","","","","","anecdotes/miscellaneous","negative"
"10098","Steaky bezkonkurenční,vcelku slušný výběr v menu,obsluha milá příjemná, ceny slušné na centrum dobrý.","44","positive","menu","48","service","positive"
"","","0","positive","Steaky","6","price","positive"
"","","49","positive","obsluha","56","",""
"","","72","positive","ceny","76","",""
"1429","Na MDŽ si to u Vás rádi zopakujeme!!","","","","","anecdotes/miscellaneous","positive"
"10099","Měli jsme tam rodinnou oslavu, vše OK, příjemná obsluha, výborné jídlo","48","positive","obsluha","55","food","positive"
"","","65","positive","jídlo","70","service","positive"
"","","","","","","anecdotes/miscellaneous","positive"
"936","Venkovní posezení je na trávě, když je mokro tak se venku jistě nesedí","9","negative","posezení","17","ambience","negative"
"937","Verte mi, ze opravdu neznam restauraci, kde by bez drivejsiho ohlaseni , na vas kuchar cekal, az se vam zaraci dorazit a to tesne , pred zaviranim kuchyne","28","neutral","restauraci","38","service","neutral"
"","","80","neutral","kuchar","86","anecdotes/miscellaneous","neutral"
"10093","Restaurace si totiž tak špatné hodnocení určitě nezaslouží.","0","neutral","Restaurace","10","anecdotes/miscellaneous","neutral"
"10092","Restaurace Sport mě i mého muže potěšila tím, že má široký výběr piv.","65","positive","piv","68","food","positive"
"","","0","positive","Restaurace","10","anecdotes/miscellaneous","positive"
"542","take tuhle restauraci nedoporucuji","11","negative","restauraci","21","anecdotes/miscellaneous","negative"
"10091","V hamburgeru byl jakysi malinky karbanatek a nejvyraznejsi bylo celkove rajce.","72","positive","rajce","77","food","negative"
"","","32","negative","karbanatek","42","",""
"","","2","negative","hamburgeru","12","",""
"541","take jsem byl nedavno v LAFUTURE A JESTE NIKDE LESPI JIDLO JSEM NEMEL,,,,jeto restaurace jak se patri a hlavne na urovni , cisto ,luxus a jidlo super .","78","positive","restaurace","88","food","positive"
"","","138","positive","jidlo","143","ambience","positive"
"","","53","positive","JIDLO","58","anecdotes/miscellaneous","positive"
"10090","Pivo nedoporučuji.","0","negative","Pivo","4","food","negative"
"10097","Tak tedy - Nečiň druhým, co nechceš aby činili tobě, jinými slovy když přijdete a tváříte se jako prdel tak proč by se oni taky nemohli tvářit jako prdel","","","","","service","negative"
"543","Takovou příjemnou paní,která nás obsluhovala jsem ještě nepotkala","18","positive","paní","22","service","positive"
"10096","Nevím co se tam stalo, ale neochota podnapilé servírky byla tou poslední kapkou.","46","negative","servírky","54","service","negative"
"546","tato restaurace je opravdu hrozna kdyz tam prijdete kolem obeda v restauraci nikdo co se tyce jidelniho listku tak oprvavdu nechapu ty jidla","5","negative","restaurace","15","food","negative"
"","","135","negative","jidla","140","anecdotes/miscellaneous","negative"
"","","94","negative","jidelniho listku","110","",""
"","","66","negative","restauraci","76","",""
"10095","Porce menší a ceny vyšší.","0","negative","Porce","5","food","negative"
"","","14","negative","ceny","18","price","negative"
"545","Takže řeknu i dalším mým známým o saloncich ,protože ve většině restaurací nejsou","34","positive","saloncich","43","ambience","positive"
"10094","Personál celkem příjemný, žádný zázrak.","0","positive","Personál","8","service","positive"
"548","TENTO HOTEL DOPORUČUJI DOBŘE SE NAJÍTE A NAPIJETE NEJLÉPE V ÚTERÝ,STŘEDA, ČTVRTEK","41","positive","NAPIJETE","49","food","positive"
"","","6","positive","HOTEL","11","anecdotes/miscellaneous","positive"
"","","32","positive","NAJÍTE","38","",""
"1813","pár fazolovejch lusků s cibulí v tomatový matlanině, jinak to nejde nazvat","4","negative","fazolovejch lusků s cibulí v tomatový matlanině","51","food","negative"
"547","Teď ve středu jsem byl v restauraci na večeři bylo tam narváno lidmi, pomalu nebylo kde sedět a jídlo zabijačka byla super,koupil jsem si i domu","96","positive","jídlo","101","food","positive"
"","","102","positive","zabijačka","111","anecdotes/miscellaneous","positive"
"","","25","positive","restauraci","35","",""
"","","39","positive","večeři","45","",""
"1814","Personál  dává kuchaři pokyny a přání,k přípravě pokrmů  přes výdejní prostor (mají ""otevřenou kuchyň"")","0","neutral","Personál","8","service","neutral"
"549","Tento týden jsme tam měli sraz spolužáků,všichni jsme byli velmi spokojeni,servírka jako vždy velmi rychlá a ochotná,jídlo vynikající","75","positive","servírka","83","food","positive"
"","","117","positive","jídlo","122","service","positive"
"1819","Posezení velmi příjemné, i když je tedy fakt, že ve třetím patře je jídlo hodně cítit","68","neutral","jídlo","73","food","neutral"
"","","0","positive","Posezení","8","",""
"920","U Štěpána je výběr jídel neatraktivní, velmi malý a dovoluji si poznamenat, že za ceny, které jsou deklarovány musí být vidět koncert zaměstnanců už před restaurací","154","neutral","restaurací","164","food","negative"
"","","82","negative","ceny","86","service","neutral"
"","","19","negative","jídel","24","price","negative"
"","","134","neutral","zaměstnanců","145","anecdotes/miscellaneous","neutral"
"1435","NEDOPORUČUJI","","","","","anecdotes/miscellaneous","negative"
"1434","Navic ten tlustej votravnej cisnik uz je asi zpet v chranenejch dilnach, takze vas obsluhuje velice sympaticka holcina","28","negative","cisnik","34","service","positive"
"","","111","positive","holcina","118","",""
"1433","Naposledy jsme ji navštívili v sobotu na oběd- vůbec nikdo tam nebyl a pan nepříjemný nám sdělil, že jsme si při takovém počtu osob měli udělat rezervaci","71","negative","pan","74","food","neutral"
"","","41","neutral","oběd","45","service","negative"
"1432","Namísto vývaru z kuřátka s domácími nudlemi jsem dostala žlutý vývar z polévkového koření bez masa s obyčejnými (asi kupovanými) nudlemi","63","negative","vývar z polévkového koření","89","food","negative"
"","","94","neutral","masa","98","",""
"","","8","negative","vývaru z kuřátka s domácími nudlemi","43","",""
"","","129","negative","nudlemi","136","",""
"1430","nabyval jsem pomalu dojmu ze pan sefkuchar hudecek ma zrejme dovolenou a v kuchyni bude uradovat někdo jiny","33","negative","sefkuchar","42","service","negative"
"925","Už nikdy!","","","","","anecdotes/miscellaneous","negative"
"923","Upřímně jsme byli zklamání","","","","","anecdotes/miscellaneous","negative"
"10087","Takový to dříve mělo styl ( není nad ty staré dobré lavice ) !","52","positive","lavice","58","ambience","neutral"
"","","21","neutral","styl","25","",""
"10088","Obsluha byla dobrá, akorát by neuškodilo, kdyby se slečna trochu více věnovala hostům a častěji se usmála. Ale i tak mohu všem doporučit, hlavně kvůli jídlu, opravdu jsme si s rodinou pochutnali a určitě restauraci zase navštívíme.","151","positive","jídlu","156","food","positive"
"","","51","negative","slečna","57","service","positive"
"","","204","positive","restauraci","214","anecdotes/miscellaneous","positive"
"","","0","positive","Obsluha","7","",""
"921","U Štěpána slovo sloužit je možno mezi zaměstnanci a majtielem","38","neutral","zaměstnanci","49","service","neutral"
"","","52","neutral","majtielem","61","",""
"10089","To už opravdu se nenajde někdo kdo umí natočit pivo???","47","negative","pivo","51","food","negative"
"922","Udělali z toho závodní kuchyni - najíst, zaplatit a ahoj","23","negative","kuchyni","30","anecdotes/miscellaneous","negative"
"1438","Nemusíte se bát, tento Váš oblíbený podnik nebo Váš podnik? už určitě nenavštívíme","","","","","anecdotes/miscellaneous","negative"
"513","Oslavila jsem svátek-dobré jídlo a pití.DOPORUČUJI","35","positive","pití","39","food","positive"
"","","27","positive","jídlo","32","anecdotes/miscellaneous","positive"
"10084","Navštívili jsme tuto restauraci po delší době na oběd a byli jsme mile překvapeni.","21","neutral","restauraci","31","food","positive"
"","","49","positive","oběd","53","anecdotes/miscellaneous","neutral"
"512","Oslava byla super zásluhou dobrého jídla a milého personálu","50","positive","personálu","59","food","positive"
"","","35","positive","jídla","40","service","positive"
"10083","Jídlo výborné a po jídle mi ještě přinesli sladké překvapení:).","0","positive","Jídlo","5","food","positive"
"","","50","positive","překvapení","60","",""
"","","19","neutral","jídle","24","",""
"10086","My jsmě měli vždy výbornou osluhu, skvěle se o nás starali.","27","positive","osluhu","33","service","positive"
"1842","Takže naše hodnocení je tak napůl, jídlo ucházející, obsluha dost špatná, najedli jsme se dobře, ale už se asi nevrátíme","53","negative","obsluha","60","food","positive"
"","","74","positive","najedli","81","service","negative"
"","","35","positive","jídlo","40","",""
"510","obsluha strasne pomala ,prostredi hrozne nevim proc to nedaji do nejake rekonstrukce ja bych se stydela tam nekoho pozvat","0","negative","obsluha","7","service","negative"
"","","24","negative","prostredi","33","ambience","negative"
"10085","Byli jsme čtyři natěšení na steak, každý si dal jiný a všichni jsme byli velmi znechuceni kvalitou a velikostí porce.","111","negative","porce","116","food","negative"
"","","28","negative","steak","33","",""
"10080","Vepřové koleno bylo skvělé.","0","positive","Vepřové koleno","14","food","positive"
"10082","Chodím do Smaragdové zahrady pokaždé, když jsem v Praze, a je to nejlepší varianta levného a chutného jídla v příjemném prostředí.","120","positive","prostředí","129","food","positive"
"","","102","positive","jídla","107","service","positive"
"","","","","","","ambience","positive"
"10081","Naprosto nejpříšernější obsluha, kterou jsem kdy zažila!","24","negative","obsluha","31","service","negative"
"1440","Neznám restauraci bez jídeláku a je to něco co tam prostě být musí","22","neutral","jídeláku","30","anecdotes/miscellaneous","neutral"
"","","7","neutral","restauraci","17","",""
"519","prave ted sedim v restauraci objednal jsem si pivo uz cekam peknych 5 min a porad zadna servirka a zadne pivo co se tyce lidi tak zhruba 8 neni to moc vlastne tu nikdo neni jidlo jsem si neobjednal tak nevim co se tyce kvality","88","negative","servirka","96","food","neutral"
"","","173","neutral","jidlo","178","service","negative"
"","","105","neutral","pivo","109","anecdotes/miscellaneous","neutral"
"","","46","neutral","pivo","50","",""
"","","18","neutral","restauraci","28","",""
"1848","Uz se tesim na dalsi navstevu","","","","","anecdotes/miscellaneous","positive"
"514","P.S. Děkuji paní recepční za opravu boty mé ženy,byla na srazu koncem loňského roku","17","positive","recepční","25","service","positive"
"1846","Toast, ktery puvodne stoji 99 korun, byla vysusena topinka s masovou smesi z konzervy","0","negative","Toast","5","food","negative"
"","","51","negative","topinka s masovou smesi","74","price","negative"
"","","21","negative","stoji","26","",""
"1445","Opravdu katastrofa a s kulinářským zážitkem to nemá opravdu pra nic společného","","","","","food","negative"
"","","","","","","anecdotes/miscellaneous","negative"
"1441","objednavka znela jednoduse","","","","","",""
"1444","Ono žádná sláva nebylo ani samotné maso","35","negative","maso","39","food","negative"
"914","TUTO RESTAURACI OPRAVDU NEDOPORUČUJI!!!!!!!!","5","negative","RESTAURACI","15","anecdotes/miscellaneous","negative"
"916","Ty flaksy co tam dělají berou z jatek v Sušici a Strakonicích","3","negative","flaksy","9","food","negative"
"2100","Nápoje - Kofolu nalévají z PETky","9","negative","Kofolu","15","food","negative"
"","","0","negative","Nápoje","6","",""
"10078","A jestli začnete večer štěkat,tak si vzpomeňte na to HOVĚZÍ.","53","negative","HOVĚZÍ","59","food","negative"
"1449","Partner si dal Rib eye steak medium, který musel vrátit a nechat si ho udělat znovu","15","negative","Rib eye steak","28","food","negative"
"10076","Restaurace byla nedávno otevřena, specializuje se na Italskou kuchyni.","0","neutral","Restaurace","10","food","neutral"
"","","53","neutral","Italskou kuchyni","69","anecdotes/miscellaneous","neutral"
"10077","Minulý týden jsem měl zdejší nakládaný hermelín a děcka pizzu - to nemá chybu.","29","neutral","nakládaný hermelín","47","food","positive"
"","","56","positive","pizzu","61","",""
"10075","Doba obsluhy a čekání byla přiměřená.","5","neutral","obsluhy","12","service","neutral"
"521","pred davnou dobou jsem tam pracoval a mohu potvrdit ze opravdu , jidlo , pivo stoji za velke hovno vim o cem mluvim .vim jak se varilo , vim com se delallo na recepci atak opravdu take nedoporucuji je hodne restauraci kde je to o mnohem lepsi .NEDOPORUCUJI","73","negative","pivo","77","food","negative"
"","","65","negative","jidlo","70","service","negative"
"","","159","negative","recepci","166","anecdotes/miscellaneous","negative"
"10074","Můžu posoudit, protože jsem měla možnost ochutnat jídla přímo v Itálii a bylo to srovnatelné.","50","neutral","jídla","55","food","neutral"
"524","prostredi jak s 80 let a co se tyce obsluhy tak nemaji vubec poneti o praci asi alkohol jim chutna vice nez obsluhovat NE TAHLE RASTAURACE UZ NIKDY","0","negative","prostredi","9","service","negative"
"","","108","negative","obsluhovat","118","ambience","negative"
"","","128","negative","RASTAURACE","138","anecdotes/miscellaneous","negative"
"","","36","negative","obsluhy","43","",""
"1832","Rumpsteak rozhodne nebyl medium, spis well done az done too much","0","negative","Rumpsteak","9","food","negative"
"10073","Za rok přijedeme určitě znovu.","","","","","anecdotes/miscellaneous","positive"
"1833","Servírky byly milé slečny, vždy se přišly zeptat, jestli něco nepotřebujeme, ale zase zbytečně neobskakovaly, což jsme kvitovali s povděkem","0","positive","Servírky","8","service","positive"
"10072","Měli jsme zakoupený slevový voucher na 2 pizzy (těstoviny).","41","neutral","pizzy","46","food","neutral"
"","","28","neutral","voucher","35","anecdotes/miscellaneous","neutral"
"","","48","neutral","těstoviny","57","",""
"908","To zůstanu v Sušici","","","","","",""
"10071","Na závěr nám slečna číšnice naúčtovala za 30 Kč 4 suché chleby a máslo, které nám donesla ""jako pozornost"" ještě než jsme si stihli sednout bez objednání (naivně jsme si mysleli, že je to pozornost podniku).","56","negative","chleby","62","food","negative"
"","","65","neutral","máslo","70","service","neutral"
"","","20","neutral","číšnice","27","price","negative"
"10070","Dnes jsem byl na Valnovce na obědě, dal jsem si domácí koprovku za 65 Kč, vynikající oběd.","85","positive","oběd","89","food","positive"
"","","48","neutral","domácí koprovku","63","",""
"520","Pravidelně zde slavíme všechny kulaté i jiné narozeniny a výždy velká spokojenost a ochota","","","","","anecdotes/miscellaneous","positive"
"909","Toto byl šumavský pohřeb","","","","","anecdotes/miscellaneous","negative"
"1838","Steak, který jsme měli,stojí podle jídelního lístku 399 Kč - za tyto peníze se najíte mnohem lépe v jiných pražských podnicích (třeba v Čestru)","0","neutral","Steak","5","food","neutral"
"","","23","negative","stojí ","29","price","negative"
"","","69","negative","peníze","75","",""
"1450","Personál velice ochotný, restaurace čistá, na wc zajímavá dekorace","25","positive","restaurace","35","service","positive"
"","","0","positive","Personál","8","ambience","positive"
"1451","Po restauraci běhá zmatený starší pán, který supluje číšníka a i tak je to komedie plná omylů a v kuchyni je zřejmě nějaký učeň vydávající se za nového majitele podniku jehož dobroty se nedají ani pozřít a to nemluvím o servírování pokrmů na talíř","175","negative","dobroty","182","food","negative"
"","","123","negative","učeň","127","service","negative"
"","","152","negative","majitele","160","anecdotes/miscellaneous","negative"
"","","53","negative","číšníka","60","",""
"","","220","negative","servírování","231","",""
"","","3","negative","restauraci","13","",""
"","","232","negative","pokrmů","238","",""
"1834","slečna (slovena) moc milá","0","positive","slečna","6","service","positive"
"528","Příjemný kolektiv -doporučuji","","","","","service","positive"
"","","","","","","anecdotes/miscellaneous","positive"
"1836","Steak byl výborný, stejně tak brambora s česnekovou zálivkou","0","positive","Steak","5","food","positive"
"","","30","positive","brambora s česnekovou zálivkou","60","",""
"10066","Lepší gurmánský zážitek jsem neměl zatím nikde po světě...a že jsem toho pracovně projel dost.","16","positive","zážitek","23","food","positive"
"10065","Sice používají chytře sklenice bez rysky, ale to zkušenému oku nevadí...","22","negative","sklenice","30","food","negative"
"988","Ani se těm negativním recenzím nedivím","","","","","anecdotes/miscellaneous","negative"
"10068","Vřele doporučuji!","","","","","anecdotes/miscellaneous","positive"
"10067","Vaří tu velmi chutně, obsluha je milá, pozorná, přesto nevtíravá a profesionální.","22","positive","obsluha","29","food","positive"
"","","0","positive","Vaří","4","service","positive"
"2111","Obsluha OK, celou dobu jsme ovšem byli v restauraci sami, což asi o lecčem vypovídá","41","positive","restauraci","51","service","positive"
"","","0","positive","Obsluha","7","anecdotes/miscellaneous","neutral"
"10069","Byl jsem zde 3x a pokaždé fajn ;) plně spokojen :)","","","","","anecdotes/miscellaneous","positive"
"981","A když si pochutnáte,tak máte v životě vlastně štěstí a nemusíte jezdit někam 150 - 200km","","","","","",""
"983","A závěrem:příjemná obsluha a ceny jako ve 4 hvězdičkovém hotelu,stylové prostředí,na pivko určitě,jídlo-nečekejte žádné zázraky,ať nejste příliš zklamáni","98","negative","jídlo","103","service","positive"
"","","85","positive","pivko","90","ambience","positive"
"","","19","positive","obsluha","26","price","negative"
"","","29","negative","ceny","33","",""
"","","72","positive","prostředí","81","",""
"2109","Nevím, jaký Sklípek to byl dřív, ale teď je to fajn hospůdka, kam se rádi vrátíme","52","positive","hospůdka","60","anecdotes/miscellaneous","positive"
"574","Výborně vaří,kvalitní kuchyň velký výběr jídel,není smrad z cigaret vždy tady rád chodím,milé servírky","22","positive","kuchyň","28","food","positive"
"","","35","positive","výběr jídel","46","service","positive"
"","","8","positive","vaří","12","ambience","positive"
"","","94","positive","servírky","102","anecdotes/miscellaneous","positive"
"575","Výborné zabijačkové hody i pivo","27","positive","pivo","31","food","positive"
"","","8","positive","zabijačkové hody","24","",""
"2104","Nehledě na to, že na toaletě jsem se přilepila k podlaze, po původu jsem nepátrala, raději","21","negative","toaletě","28","ambience","negative"
"2102","Navíc neměli žádný džus, což mrzelo mého kamaráda","19","neutral","džus","23","food","neutral"
"","","","","","","service","negative"
"573","vyborna kuchně a ještě lepší obsluha","8","positive","kuchně","14","food","positive"
"","","29","positive","obsluha","36","service","positive"
"10060","Doporučuji tuto restauraci určitě navštívit!","16","positive","restauraci","26","anecdotes/miscellaneous","positive"
"578","Zabijačkovou mísu určitě ochutnejte","0","positive","Zabijačkovou mísu","17","food","positive"
"10061","Nic jsem za ty peníze nečekal,ale byl jsem mile překvapen.","15","positive","peníze","21","food","positive"
"","","","","","","price","positive"
"10062","neco strašnyho, pečivo z mrazaku, brambory stary, akorat pivo chutnalo, ty doporučeni ja chvala sou tady asi jen od majitele !!!","16","negative","pečivo","22","food","negative"
"","","116","negative","majitele","124","service","neutral"
"","","57","positive","pivo","61","",""
"","","34","negative","brambory","42","",""
"2105","Nechápu, proč někdo takový, dalo by se říci podnik s domácím jídlem kritizuje, když ani doma takové porce za směšné kupon ceny nepořídí","53","positive","domácím jídlem","67","food","positive"
"","","100","positive","porce","105","price","positive"
"","","122","positive","ceny","126","",""
"576","VŽDY JSEM BYL SPOKOJEN,ASI NĚKDO UKŘIVDĚNY NEBYL","","","","","anecdotes/miscellaneous","positive"
"10063","Výborná thajská kuchyně, jako její milovník oceňuji sněz co sníš, na které si prostě musím zajet alespoň jednou do měsíce, ikdyž to mám 100km daleko.","8","positive","thajská kuchyně","23","food","positive"
"2106","Nejenom že byli ohřáté v mikrovlnce a polité neidentifikovatelnou červenou hmotou, ale také lehce zapáchali ledničkou, zřejmě z důvodu jejich skladování","","","","","food","negative"
"10064","Inu, pivko mám, jídlo jsem si objednal, tak jsem si chtěl skočit na záchod, kde mě málem chuť k jídlu přešla - smrad jak na nádraží, špína a po letmém pohledu na umyvadlo a samonavíjecí ručník (vypadal že se tam na té roli točí už tak půl roku) jsem raději vypadnul než abych si tam ""umyl"" ruce.","16","neutral","jídlo","21","food","neutral"
"","","162","negative","umyvadlo","170","ambience","negative"
"","","5","neutral","pivko","10","",""
"","","68","negative","záchod","74","",""
"","","186","negative","ručník","192","",""
"977","Hned při vstupu to zasmrdělo přažáckým akcentem číšníka,který mluvil spisovně až se mi z toho dělalo mdlo","48","negative","číšníka","55","service","negative"
"10057","Před pár dny jsem se zde stavovala na jídlo. Mile mě překvapila velká změna. Nová milá obsluha, čistota, chutné jídlo. Vše tu prošlo změnou. Sklípek začnu navštěvovat častěji. Všem doporučuji!","141","positive","Sklípek","148","food","positive"
"","","87","positive","obsluha","94","service","positive"
"","","70","positive","změna","75","ambience","positive"
"","","112","positive","jídlo","117","anecdotes/miscellaneous","positive"
"","","96","positive","čistota","103","",""
"976","Žiadne podrážky ani gumové mäso sme nezazamenali","27","neutral","mäso","31","food","neutral"
"10056","Když jsem se ohradil, tak na mě sprostě začal zhulený číšník ječet, ať jdu prudit jinam.","54","negative","číšník","60","service","negative"
"979","A jestli si misto toho dat burgra to nemusim jezdit sem ale nekam do fastfoodu ;)","27","neutral","burgra","33","food","neutral"
"10055","Obsluha pomalá, neochotná, maso úpně jinak propečené, než sme chtěli.","27","negative","maso","31","food","negative"
"","","0","negative","Obsluha","7","service","negative"
"978","nevím jak to nazvat jinak než naprostý skandál a vrchol drzosti","","","","","anecdotes/miscellaneous","negative"
"10054","Těch 200 g bylo asi i s houskou a s brambory.","36","neutral","brambory","44","food","negative"
"","","24","neutral","houskou","31","",""
"2120","Půjde to do televize,ať mají reklamu o jakou stojí, ale pozitivní určitě nebude a pak si od nich ani pes kurku nevezme","","","","","anecdotes/miscellaneous","negative"
"582","A navíc to ani nebylo dobře ochucené","28","negative","ochucené","36","food","negative"
"2122","Současně mne také velmi překvapila usměvavá obsluha a velmi zajímavé ceny piva v akci","74","neutral","piva","78","food","neutral"
"","","69","positive","ceny","73","service","positive"
"","","44","positive","obsluha","51","price","positive"
"10059","Jde vidět, kdo koho šidí o peníze, když se slečna servírka nalévá alkoholem!","50","negative","servírka","58","service","negative"
"581","A na místě nastalo velké zklamání","","","","","anecdotes/miscellaneous","negative"
"2121","Restauraci sklípek už nikdy!!!","0","negative","Restauraci","10","anecdotes/miscellaneous","negative"
"10058","Drobné rýpnutí k názvu dezertu ""hot love"" pro horké maliny se zmrzlinou, někdy je lepší nazývat věci pravými jmény..","46","negative","horké maliny se zmrzlinou","71","food","negative"
"970","Ztratila svou šumavskou atmosféru","","","","","anecdotes/miscellaneous","negative"
"583","A o vlastním dobytku v kuchyni padla malá zmínka pouze v prvním díle, dneska už nikdo netvrdí, že jsou to jejich kravičky","","","","","food","negative"
"2114","Potom chápu, že cena je nízká, když polovina zákazníků si nemůže voucher vybrat","16","positive","cena","20","price","positive"
"","","65","negative","voucher","72","anecdotes/miscellaneous","negative"
"2115","Překvapilo mne velmi příjemné prostředí a obsluha a když jsem si, sice ještě s obavou vědom si recenzí, objednal pečená žebra, tak jsem byl opravdu velmi spokojen nejen jejich vynikající kvalitou a velikostí porce, ale také precizností provedení a skvělou a rychlou obsluhou","208","positive","porce","213","food","positive"
"","","266","positive","obsluhou","274","service","positive"
"","","42","positive","obsluha","49","ambience","positive"
"","","113","positive","pečená žebra","125","",""
"","","30","positive","prostředí","39","",""
"586","A přijdeme znovu a rádi","","","","","anecdotes/miscellaneous","positive"
"2116","Příště si raději dám sekanou v bulce z Globusu","21","neutral","sekanou","28","food","negative"
"587","A rozhodne si stojím za tým, že je to výborná reštika","46","positive","reštika","53","food","positive"
"10052","Co by se mělo určitě zlepšit jsou pánské WC,2 pisoáry ze 4 tečou,tudíž jsou mimo provoz a když čekáte až se dostanete na řadu tak jste rádi že nejste taky mimo provoz.","46","negative","pisoáry","53","ambience","negative"
"","","34","negative","pánské WC","43","",""
"2117","Příště už opravdu ne","","","","","anecdotes/miscellaneous","negative"
